player_name,games_played,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,efficiency_per_game,avg_minutes
ZIYU ZHANG,5,15.6,5.6,1,0,0.4,16.4,14.04
Xu Han,5,14.8,7,2.2,0.6,1.4,18.8,21.77
Shuyu Yang,5,11.4,3.4,4,1,0.4,13.6,26.06
Liwei Yang,5,10,1.8,5.6,0.8,0,12.2,21.4
Xinyu Luo,5,9.2,4.2,1.6,2,0.2,11.2,22.33
Siyu Wang,5,9,2.8,5.2,0.4,0.2,14.4,12.8
Ru Zhang,5,5.2,2.8,2.6,0.8,0,8.4,18.01
Sijing Huang,5,5.2,3.6,2,0.6,0.4,8,13.2
Ruoyun Zhai,5,5.2,2.6,1.2,0.4,0.2,6.8,18.36
Zhenqi Pan,5,3.4,1.6,0.8,0,0,4,8.13
Saiqi Jia,5,3,1.8,1,1.4,0,5.2,10.24
Yuan Li,5,1.6,1.4,2.8,0.6,0,3.2,13.67
