game_id,game_no,event_name,game_date,stage,team_home,team_away,score_home,score_away,winner,game_url
125112-CHN-NZL,1,FIBA Women's Asia Cup 2025,2025-07-16,Final,China,New Zealand,85,51,China,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125113-NZL-KOR,2,FIBA Women's Asia Cup 2025,2025-07-14,Final,New Zealand,Korea,76,78,Korea,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
125114-KOR-CHN,3,FIBA Women's Asia Cup 2025,2025-07-15,Final,Korea,China,69,91,China,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
125115-CHN-INA,4,FIBA Women's Asia Cup 2025,2025-07-14,Final,China,Indonesia,110,59,China,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
125116-INA-NZL,5,FIBA Women's Asia Cup 2025,2025-07-15,Final,Indonesia,New Zealand,45,75,New Zealand,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
125117-KOR-INA,6,FIBA Women's Asia Cup 2025,2025-07-16,Final,Korea,Indonesia,95,62,Korea,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125117-KOR-INA
125118-JPN-AUS,7,FIBA Women's Asia Cup 2025,2025-07-15,Final,Japan,Australia,67,79,Australia,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125118-JPN-AUS
125119-AUS-PHI,8,FIBA Women's Asia Cup 2025,2025-07-14,Final,Australia,Philippines,115,39,Australia,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125119-AUS-PHI
125120-PHI-JPN,9,FIBA Women's Asia Cup 2025,2025-07-14,Final,Philippines,Japan,82,85,Japan,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125121-JPN-LBN,10,FIBA Women's Asia Cup 2025,2025-07-14,Final,Japan,Lebanon,72,68,Japan,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125122-LBN-AUS,11,FIBA Women's Asia Cup 2025,2025-07-14,Final,Lebanon,Australia,34,113,Australia,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125123-PHI-LBN,12,FIBA Women's Asia Cup 2025,2025-07-16,Final,Philippines,Lebanon,73,70,Philippines,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN
126778-KOR-PHI,13,FIBA Women's Asia Cup 2025,2025-07-18,Final,Korea,Philippines,104,71,Korea,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126778-KOR-PHI
126779-JPN-NZL,14,FIBA Women's Asia Cup 2025,2025-07-18,Final,Japan,New Zealand,77,62,Japan,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126779-JPN-NZL
126780-INA-LBN,15,FIBA Women's Asia Cup 2025,2025-07-18,Final,Indonesia,Lebanon,57,67,Lebanon,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126780-INA-LBN
126781-CHN-JPN,16,FIBA Women's Asia Cup 2025,2025-07-19,Final,China,Japan,81,90,Japan,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126781-CHN-JPN
126782-AUS-KOR,17,FIBA Women's Asia Cup 2025,2025-07-19,Final,Australia,Korea,86,73,Australia,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126782-AUS-KOR
126783-PHI-NZL,18,FIBA Women's Asia Cup 2025,2025-07-19,Final,Philippines,New Zealand,71,78,New Zealand,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126783-PHI-NZL
126784-KOR-CHN,19,FIBA Women's Asia Cup 2025,2025-07-20,Final,Korea,China,66,101,China,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126784-KOR-CHN
126785-AUS-JPN,20,FIBA Women's Asia Cup 2025,2025-07-20,Final,Australia,Japan,88,79,Australia,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/126785-AUS-JPN
