game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
125112-CHN-NZL,1,China,Saiqi Jia,FALSE,19:08,19.13,3,4,2,5,0,0,2,1,6,16.7,1,3,33.3,0,0,0,9,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Ruoyun Zhai,FALSE,23:13,23.22,5,3,1,0,0,1,1,2,7,28.6,1,4,25,0,0,0,3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,ZIYU ZHANG,FALSE,10:02,10.03,12,4,0,0,0,1,1,4,6,66.7,0,0,0,4,5,80,12,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Xinyu Luo,TRUE,25:21:00,25.35,8,3,1,2,0,2,0,2,8,25,0,6,0,4,4,100,6,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Xu Han,TRUE,15:55,15.92,10,5,1,0,1,0,1,5,6,83.3,0,0,0,0,0,0,16,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Zhenqi Pan,FALSE,19:42,19.7,5,4,1,0,0,3,2,1,2,50,0,0,0,3,4,75,5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Sijing Huang,FALSE,19:55,19.92,8,6,1,2,1,0,2,3,11,27.3,2,6,33.3,0,0,0,10,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Ru Zhang,TRUE,10:43,10.72,4,2,3,0,0,0,4,2,3,66.7,0,0,0,0,0,0,8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Liwei Yang,FALSE,12:54,12.9,5,0,4,1,0,1,3,2,5,40,1,3,33.3,0,0,0,6,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Shuyu Yang,TRUE,16:01,16.02,12,3,4,0,0,0,3,5,8,62.5,2,3,66.7,0,0,0,16,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Yuan Li,TRUE,16:31,16.52,7,3,6,0,0,1,0,3,5,60,0,1,0,1,2,50,12,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,China,Siyu Wang,FALSE,10:35,10.58,6,2,7,0,0,1,0,1,2,50,1,1,100,3,6,50,10,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,Charlotte Whittaker,FALSE,19:29,19.48,10,5,0,0,0,1,3,5,12,41.7,0,2,0,0,0,0,7,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,McKenna Dale,TRUE,21:01,21.02,3,5,0,1,1,0,0,1,4,25,1,3,33.3,0,0,0,7,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,Tayla Dalton,TRUE,24:20:00,24.33,9,4,4,1,0,2,4,3,6,50,0,0,0,3,6,50,10,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,Olivia Williams,FALSE,16:19,16.32,0,2,2,1,1,1,0,0,8,0,0,1,0,0,0,0,-3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,Ritorya Tamilo,FALSE,18:10,18.17,3,3,1,0,1,2,4,1,3,33.3,0,0,0,1,3,33.3,2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,Ella Tofaeono,FALSE,16:31,16.52,1,10,0,0,0,4,1,0,2,0,0,0,0,1,2,50,4,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,Esra McGoldrick,TRUE,10:59,10.98,2,4,1,0,0,2,0,1,6,16.7,0,1,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
125112-CHN-NZL,1,New Zealand,Ashlee Strawbridge,FALSE,18:33,18.55,0,1,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
