id,game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
481,125112-CHN-NZL,1,China,Saiqi Jia,False,19:8,19.13,3,4,2,5,0,0,2,1,6,16.7,1,3,33.3,0,0,0.0,9.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
482,125112-CHN-NZL,1,China,Ruoyun Zhai,False,23:13,23.22,5,3,1,0,0,1,1,2,7,28.6,1,4,25.0,0,0,0.0,3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
483,125112-CHN-NZL,1,China,ZIYU ZHANG,False,10:2,10.03,12,4,0,0,0,1,1,4,6,66.7,0,0,0.0,4,5,80.0,12.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
484,125112-CHN-NZL,1,China,Xinyu Luo,True,25:21,25.35,8,3,1,2,0,2,0,2,8,25.0,0,6,0.0,4,4,100.0,6.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
485,125112-CHN-NZL,1,China,Xu Han,True,15:55,15.92,10,5,1,0,1,0,1,5,6,83.3,0,0,0.0,0,0,0.0,16.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
486,125112-CHN-NZL,1,China,Zhenqi Pan,False,19:42,19.7,5,4,1,0,0,3,2,1,2,50.0,0,0,0.0,3,4,75.0,5.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
487,125112-CHN-NZL,1,China,Sijing Huang,False,19:55,19.92,8,6,1,2,1,0,2,3,11,27.3,2,6,33.3,0,0,0.0,10.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
488,125112-CHN-NZL,1,China,Ru Zhang,True,10:43,10.72,4,2,3,0,0,0,4,2,3,66.7,0,0,0.0,0,0,0.0,8.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
489,125112-CHN-NZL,1,China,Liwei Yang,False,12:54,12.9,5,0,4,1,0,1,3,2,5,40.0,1,3,33.3,0,0,0.0,6.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
490,125112-CHN-NZL,1,China,Shuyu Yang,True,16:1,16.02,12,3,4,0,0,0,3,5,8,62.5,2,3,66.7,0,0,0.0,16.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
491,125112-CHN-NZL,1,China,Yuan Li,True,16:31,16.52,7,3,6,0,0,1,0,3,5,60.0,0,1,0.0,1,2,50.0,12.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
492,125112-CHN-NZL,1,China,Siyu Wang,False,10:35,10.58,6,2,7,0,0,1,0,1,2,50.0,1,1,100.0,3,6,50.0,10.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
493,125112-CHN-NZL,1,New Zealand,Charlotte Whittaker,False,19:29,19.48,10,5,0,0,0,1,3,5,12,41.7,0,2,0.0,0,0,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
494,125112-CHN-NZL,1,New Zealand,McKenna Dale,True,21:1,21.02,3,5,0,1,1,0,0,1,4,25.0,1,3,33.3,0,0,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
495,125112-CHN-NZL,1,New Zealand,Tayla Dalton,True,24:20,24.33,9,4,4,1,0,2,4,3,6,50.0,0,0,0.0,3,6,50.0,10.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
496,125112-CHN-NZL,1,New Zealand,Olivia Williams,False,16:19,16.32,0,2,2,1,1,1,0,0,8,0.0,0,1,0.0,0,0,0.0,-3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
497,125112-CHN-NZL,1,New Zealand,Ritorya Tamilo,False,18:10,18.17,3,3,1,0,1,2,4,1,3,33.3,0,0,0.0,1,3,33.3,2.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
498,125112-CHN-NZL,1,New Zealand,Ella Tofaeono,False,16:31,16.52,1,10,0,0,0,4,1,0,2,0.0,0,0,0.0,1,2,50.0,4.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
499,125112-CHN-NZL,1,New Zealand,Esra McGoldrick,True,10:59,10.98,2,4,1,0,0,2,0,1,6,16.7,0,1,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
500,125112-CHN-NZL,1,New Zealand,Ashlee Strawbridge,False,18:33,18.55,0,1,2,0,0,0,1,0,3,0.0,0,2,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
501,125112-CHN-NZL,1,New Zealand,Rebecca Kathleen Pizzey,True,15:34,15.57,8,4,0,0,1,3,2,4,6,66.7,0,0,0.0,0,1,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
502,125112-CHN-NZL,1,New Zealand,Pahlyss Hokianga,False,21:6,21.1,7,1,2,1,0,2,2,2,8,25.0,0,1,0.0,3,4,75.0,2.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
503,125112-CHN-NZL,1,New Zealand,Bailey Flavell,False,0:0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
504,125112-CHN-NZL,1,New Zealand,Emilia Shearer,True,17:58,17.97,8,1,2,0,0,1,3,3,6,50.0,2,3,66.7,0,0,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125112-CHN-NZL
505,125113-NZL-KOR,2,New Zealand,Charlotte Whittaker,False,7:59,7.98,4,1,0,1,0,1,2,2,4,50.0,0,0,0.0,0,0,0.0,3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
506,125113-NZL-KOR,2,New Zealand,McKenna Dale,True,32:13,32.22,11,3,3,3,0,1,1,5,10,50.0,1,3,33.3,0,0,0.0,14.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
507,125113-NZL-KOR,2,New Zealand,Tayla Dalton,False,23:42,23.7,2,4,5,0,0,2,2,0,2,0.0,0,2,0.0,2,4,50.0,5.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
508,125113-NZL-KOR,2,New Zealand,Olivia Williams,False,0:0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
509,125113-NZL-KOR,2,New Zealand,Ritorya Tamilo,True,16:39,16.65,7,8,1,2,0,2,2,3,7,42.9,0,0,0.0,1,2,50.0,11.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
510,125113-NZL-KOR,2,New Zealand,Ella Tofaeono,False,1:11,1.18,0,2,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
511,125113-NZL-KOR,2,New Zealand,Esra McGoldrick,True,31:57,31.95,10,5,4,2,1,1,1,4,12,33.3,0,1,0.0,2,5,40.0,10.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
512,125113-NZL-KOR,2,New Zealand,Ashlee Strawbridge,False,2:59,2.98,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,1,2,50.0,1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
513,125113-NZL-KOR,2,New Zealand,Rebecca Kathleen Pizzey,False,22:25,22.42,11,4,2,1,1,1,0,5,6,83.3,0,0,0.0,1,2,50.0,16.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
514,125113-NZL-KOR,2,New Zealand,Pahlyss Hokianga,True,18:23,18.38,5,2,5,2,0,2,1,2,5,40.0,1,2,50.0,0,0,0.0,9.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
515,125113-NZL-KOR,2,New Zealand,Bailey Flavell,False,12:16,12.27,3,1,1,0,0,3,1,1,1,100.0,0,0,0.0,1,2,50.0,1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
516,125113-NZL-KOR,2,New Zealand,Emilia Shearer,True,30:17,30.28,22,4,3,0,1,1,2,8,17,47.1,2,5,40.0,4,4,100.0,20.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
