player_name,team,games_played,total_points,total_rebounds,total_assists,total_steals,total_blocks,avg_efficiency,avg_minutes,points_per_game,rebounds_per_game,assists_per_game
Kokoro Tanaka,Japan,6,89,15,33,7,0,13.83,25.08,14.83,2.5,5.5
Jihyun Park,Korea,6,85,33,22,13,0,17.17,29.68,14.17,5.5,3.67
ZIYU ZHANG,China,5,78,28,5,0,2,16.4,14.04,15.6,5.6,1
Esra McGoldrick,New Zealand,5,75,34,12,6,8,16.2,24.28,15,6.8,2.4
Xu Han,China,5,74,35,11,3,7,18.8,21.77,14.8,7,2.2
Isaem Choi,Korea,6,72,21,7,1,0,10.67,26.12,12,3.5,1.17
Rebecca Akl,Lebanon,4,66,17,10,2,0,11.25,28.06,16.5,4.25,2.5
Vanessa De Jesus,Philippines,5,66,14,16,1,0,8.8,31.95,13.2,2.8,3.2
Naomi Natalie Panganiban,Philippines,5,66,16,12,6,0,10.4,26.49,13.2,3.2,2.4
Yuki Miyazawa,Japan,6,65,44,16,3,4,17,23.53,10.83,7.33,2.67
Alexandra Fowler,Australia,5,59,36,19,7,2,20,25.24,11.8,7.2,3.8
Kim Pierre-Louis,Indonesia,4,59,28,1,3,3,12.75,25.08,14.75,7,0.25
Shuyu Yang,China,5,57,17,20,5,2,13.6,26.06,11.4,3.4,4
Sara Blicavs,Australia,5,57,26,9,7,0,13,23.67,11.4,5.2,1.8
Maki Takada,Japan,6,57,33,7,2,0,12.33,22.9,9.5,5.5,1.17
Stephanie Reid,Australia,5,56,6,37,4,0,16.4,23.38,11.2,1.2,7.4
Jisu Park,Korea,6,56,26,16,7,6,9,18.66,9.33,4.33,2.67
Emilia Shearer,New Zealand,5,54,20,14,0,3,10.6,25.42,10.8,4,2.8
Jack Animam,Philippines,5,52,50,14,13,6,15.8,30.15,10.4,10,2.8
Yoolim Kang,Korea,6,52,6,8,2,1,8.5,15.72,8.67,1,1.33
Stephanie Mawuli,Japan,6,51,17,6,5,3,8.17,21.16,8.5,2.83,1
Liwei Yang,China,5,50,9,28,4,0,12.2,21.4,10,1.8,5.6
Cayla George,Australia,5,49,42,10,0,1,13.6,20.24,9.8,8.4,2
Norika Konno,Japan,6,47,17,13,3,3,9,20.53,7.83,2.83,2.17
Xinyu Luo,China,5,46,21,8,10,1,11.2,22.33,9.2,4.2,1.6
Siyu Wang,China,5,45,14,26,2,1,14.4,12.8,9,2.8,5.2
Rebecca Kathleen Pizzey,New Zealand,5,44,38,9,5,3,14.2,22.16,8.8,7.6,1.8
Minami Yabu,Japan,6,44,8,4,4,1,4.17,19.28,7.33,1.33,0.67
Haeran Lee,Korea,6,44,23,4,6,0,8.33,18.37,7.33,3.83,0.67
Yeeun Heo,Korea,6,43,14,38,6,0,13,17.09,7.17,2.33,6.33
Sumayah Sugapong,Philippines,5,43,11,8,8,0,5.6,18.48,8.6,2.2,1.6
Isobel Borlase,Australia,5,43,12,9,6,0,7.4,19.36,8.6,2.4,1.8
Jillian Archer,Lebanon,4,41,36,7,3,2,14.5,27.93,10.25,9,1.75
Chloe Bibby,Australia,5,40,31,9,1,0,12.4,13.86,8,6.2,1.8
Courtney Michelle Woods,Australia,5,39,21,15,6,0,12.4,21.73,7.8,4.2,3
Amar Mansour,Lebanon,4,39,25,11,5,0,9.75,26.79,9.75,6.25,2.75
McKenna Dale,New Zealand,5,37,24,13,8,4,9.6,28.39,7.4,4.8,2.6
Jihyun Shin,Korea,6,36,6,17,1,1,5.67,17.22,6,1,2.83
Isabelle Bourne,Australia,5,34,16,6,5,2,9.2,12.28,6.8,3.2,1.2
